FID,REPORTDATE,BLOCKADD,OFFENSE
16172,2014-02-14 00:00:00,30th St & Valmont Rd,Vandalism
16173,2014-02-14 00:00:00,3300 Block 28th St,Trespassing
16174,2014-02-15 00:00:00,4900 Block Osage Dr,Vandalism
16175,2014-02-16 00:00:00,1100 Block University Ave,Incident
16176,2014-02-15 00:00:00,900 Block 14th St,Burglary
16177,2014-02-16 00:00:00,1000 Block 14th St,Motorcycle Theft
16178,2014-02-16 00:00:00,700 Block Arapahoe Ave,Vandalism
16179,2014-02-14 00:00:00,2900 Block E Aurora Ave,Burglary
16180,2014-02-14 00:00:00,4800 Block Baseline Rd,Theft From Vehicle
16181,2014-02-15 00:00:00,1700 Block 30th St,Trespassing
16182,2014-02-15 00:00:00,1100 Block Broadway,Incident
16183,2014-02-14 00:00:00,1300 Block Broadway,Burglary
16184,2014-02-15 00:00:00,2000 Block 13th St,Assault
16185,2014-02-15 00:00:00,1000 Block 13th St,Burglary
16186,2014-02-14 00:00:00,15th St & Broadway,Vandalism
16187,2014-02-16 00:00:00,1000 Block 12th St,Burglary
16188,2014-02-15 00:00:00,1600 Block 30th St,Trespassing
16189,2014-02-16 00:00:00,3300 Block Hickok Pl,Vandalism
16190,2014-02-15 00:00:00,2800 Block 28th St,Vandalism
16191,2014-02-15 00:00:00,900 Block 10th St,Vandalism
16192,2014-02-15 00:00:00,3600 Block Madison Ave,Sex Assault
16193,2014-02-15 00:00:00,600 Block Lashley Ln,Vandalism
16194,2014-02-16 00:00:00,1200 Block Pennsylvania Ave,Burglary
16195,2014-02-18 00:00:00,1000 Block Adams Cir,Vandalism
16196,2014-02-18 00:00:00,Broadway & Lee Hill Dr,Trespassing
16197,2014-02-19 00:00:00,2500 Block Baseline Rd,Vandalism
16198,2014-02-19 00:00:00,1900 Block Walnut St,Trespassing
16199,2014-02-19 00:00:00,600 Block Walden Cir,Burglary
16200,2014-02-14 00:00:00,2100 Block Kincaid Pl,Burglary
16201,2014-02-21 00:00:00,4500 Block 19th St,Incident
16202,2014-02-21 00:00:00,2900 Block Iris Ave,Theft From Vehicle
16203,2014-02-22 00:00:00,3700 Block Arapahoe Ave,Burglary
16204,2014-02-23 00:00:00,500 Block 27th Way,Trespassing
16205,2014-02-22 00:00:00,3200 Block 28th St,Incident
16206,2014-02-21 00:00:00,5200 Block Cypress Dr,Vandalism
16207,2014-02-21 00:00:00,1100 Block 13th St,Vandalism
16208,2014-02-21 00:00:00,6th St & Hawthorne Ave,Incident
16209,2014-02-22 00:00:00,1800 Block 29th St,Trespassing
16210,2014-02-22 00:00:00,1000 Block 15th St,Burglary
16211,2014-02-21 00:00:00,5th St & University Ave,Auto Theft
16212,2014-02-22 00:00:00,4900 Block Meredith Way,Assault
16213,2014-02-19 00:00:00,600 Block S Broadway,Theft From Vehicle
16214,2014-02-24 00:00:00,2600 Block 28th St,Trespassing
16215,2014-02-24 00:00:00,1800 Block Mapleton Ave,Burglary
16216,2014-02-24 00:00:00,5400 Block S Boulder Rd,Theft From Vehicle
16217,2014-02-26 00:00:00,3200 Block Valmont Rd,Theft From Vehicle
16218,2014-02-26 00:00:00,1000 Block Canyon Blvd,Trespassing
16219,2014-02-27 00:00:00,2700 Block Folsom St,Vandalism
16220,2014-02-27 00:00:00,2500 Block Mapleton Ave,Theft From Vehicle
16221,2014-02-15 00:00:00,4800 Block Broadway,Trespassing
16222,2014-02-16 00:00:00,200 Block Iroquois Dr,Theft From Vehicle
16223,2014-02-24 00:00:00,4200 Block Greenbriar Blvd,Vandalism
16224,2014-02-25 00:00:00,2800 Block E Aurora Ave,Burglary
16225,2014-02-24 00:00:00,1000 Block 14th St,Vandalism
16226,2014-02-24 00:00:00,2200 Block E Goss Cir,Vandalism
16227,2014-02-26 00:00:00,3500 Block Arthur Ct,Trespassing
16228,2014-03-03 00:00:00,1600 Block 30th St,Trespassing
16229,2014-03-04 00:00:00,23rd St & Mapleton Ave,Theft From Vehicle
16230,2014-07-03 00:00:00,1300 Block College Ave,Theft From Vehicle
16231,2014-07-12 00:00:00,1300 Block Broadway,Trespassing
16232,2014-07-12 00:00:00,900 Block Walnut St,Vandalism
16233,2014-07-12 00:00:00,7th St & Pennsylvania Ave,Vandalism
16234,2014-07-11 00:00:00,1700 Block 29th St,Theft From Vehicle
16235,2014-07-11 00:00:00,4500 Block Nassau Pl,Sex Assault
16236,2014-07-13 00:00:00,1000 Block Canyon Blvd,Vandalism
16237,2014-07-11 00:00:00,3100 Block Airport Rd,Vandalism
16238,2014-07-12 00:00:00,900 Block 13th St,Vandalism
16239,2014-07-12 00:00:00,Arapahoe Ave & Broadway,Assault
16240,2014-07-11 00:00:00,700 Block 11th St,Vandalism
16241,2014-07-11 00:00:00,2900 Block Valmont Rd,Vandalism
16242,2014-07-12 00:00:00,1700 Block Quince Ave,Theft From Vehicle
16243,2014-07-11 00:00:00,4900 Block Baseline Rd,Burglary
16244,2014-07-15 00:00:00,4200 Block Moorhead Ave,Burglary
16245,2014-07-12 00:00:00,1100 Block 35th St,Motorcycle Theft
16246,2014-07-13 00:00:00,1300 Block Broadway,Assault
16247,2014-07-20 00:00:00,3900 Block Table Mesa Dr,Recovery
16248,2014-07-28 00:00:00,800 Block 30th St,Burglary
16249,2014-07-28 00:00:00,4900 Block Moorhead Ave,Vandalism
16250,2014-07-28 00:00:00,700 Block 17th St,Burglary
16251,2014-07-30 00:00:00,1600 Block Arapahoe Ave,Trespassing
16252,2014-07-30 00:00:00,2700 Block Taft Dr,Vandalism
16253,2014-07-30 00:00:00,1500 Block Pearl St,Burglary
16254,2014-07-31 00:00:00,20th St & Bluff St,Vandalism
16255,2014-07-30 00:00:00,1000 Block 9th St,Burglary
16256,2014-07-30 00:00:00,2900 Block Glenwood Dr,Burglary
16257,2014-08-12 00:00:00,1700 Block 15th St,Vandalism
16258,2014-08-12 00:00:00,500 Block Mohawk Dr,Incident
16259,2014-08-12 00:00:00,900 Block 18th St,Vandalism
16260,2014-08-12 00:00:00,3400 Block Broadway,Vandalism
16261,2014-08-18 00:00:00,3200 Block Sentinel Dr,Theft From Vehicle
16262,2014-08-19 00:00:00,3000 Block Colorado Ave,Vandalism
16263,2014-08-19 00:00:00,1300 Block Euclid Ave,Vandalism
16264,2014-08-19 00:00:00,600 Block Mohawk Dr,Burglary
16265,2014-08-19 00:00:00,2700 Block Glenwood Ct,Vandalism
16266,2014-01-09 00:00:00,500 Block 14th St,Trespassing
16267,2014-08-19 00:00:00,800 Block 20th St,Vandalism
16268,2014-08-19 00:00:00,1400 Block Canyon Blvd,Trespassing
16269,2014-08-19 00:00:00,700 Block Yale Rd,Vandalism
16270,2014-08-19 00:00:00,1600 Block 28th St,Vandalism
16271,2014-08-19 00:00:00,3000 Block Bluff St,Trespassing
16272,2014-08-20 00:00:00,1000 Block Adams Cir,Burglary
16273,2014-08-20 00:00:00,600 Block 12th St,Vandalism
16274,2014-08-20 00:00:00,3200 Block Table Mesa Dr,Vandalism
16275,2014-08-20 00:00:00,800 Block 20th St,Burglary
16276,2014-08-20 00:00:00,10th St & Pennsylvania Ave,Burglary
16277,2014-07-16 00:00:00,1600 Block 4th St,Incident
16278,2014-07-16 00:00:00,1000 Block Pleasant St,Incident
16279,2014-07-11 00:00:00,800 Block 6th St,Burglary
16280,2014-07-16 00:00:00,3700 Block Wonderland Hill Ave,Burglary
16281,2014-07-17 00:00:00,900 Block 28th St,Incident
16282,2014-07-17 00:00:00,1400 Block Walnut St,Trespassing
16283,2014-07-17 00:00:00,3900 Block Promontory Ct,Burglary
16284,2014-07-17 00:00:00,4800 Block Broadway,Trespassing
16285,2013-01-19 00:00:00,1500 Block Broadway,Sex Assault
16286,2014-07-20 00:00:00,1100 Block Lawry Ln,Sex Assault
16287,2014-07-22 00:00:00,1000 Block Broadway,Burglary
16288,2014-07-02 00:00:00,1800 Block 29th St,Vandalism
16289,2014-07-23 00:00:00,3100 Block 6th St,Vandalism
16290,2014-07-24 00:00:00,1300 Block Pearl St,Incident
16291,2014-07-24 00:00:00,800 Block 15th St,Trespassing
16292,2014-07-24 00:00:00,11th St & Aurora Ave,Burglary
16293,2014-07-24 00:00:00,200 Block Arapahoe Ave,Trespassing
16294,2014-07-21 00:00:00,2900 Block Baseline Rd,Burglary
16295,2014-07-21 00:00:00,1800 Block 16th St,Burglary
16296,2014-11-28 00:00:00,1900 Block Baseline Rd,Auto Theft
16297,2014-11-28 00:00:00,1800 Block Pine St,Vandalism
16298,2014-11-28 00:00:00,3300 Block Wright Cir,Sex Assault
16299,2014-11-28 00:00:00,2500 Block 9th St,Sex Assault
16300,2014-11-29 00:00:00,1000 Block Balsam Ave,Incident
16301,2014-11-28 00:00:00,2900 Block E College Ave,Burglary
16302,2014-11-30 00:00:00,1500 Block Eisenhower Dr,Auto Theft
16303,2014-11-29 00:00:00,11th St & Walnut St,Vandalism
16304,2014-11-27 00:00:00,2600 Block Juniper Ave,Theft From Vehicle
16305,2014-11-28 00:00:00,600 Block Marine St,Burglary
16306,2014-11-28 00:00:00,1300 Block Lawry Ln,Vandalism
16307,2014-11-28 00:00:00,4400 Block Broadway,Vandalism
16308,2014-11-28 00:00:00,3000 Block Valmont Rd,Theft From Vehicle
16309,2014-11-30 00:00:00,3000 Block Madison Ave,Burglary
16310,2014-11-30 00:00:00,700 Block 29th St,Burglary
16311,2014-11-30 00:00:00,3000 Block Colorado Ave,Burglary
16312,2014-11-28 00:00:00,4200 Block Moorhead Ave,Burglary
16313,2014-11-27 00:00:00,500 Block 27th Way,Burglary
16314,2014-11-28 00:00:00,1400 Block Walnut St,Trespassing
16315,2014-11-28 00:00:00,1100 Block Lee Hill Dr,Trespassing
16316,2014-11-28 00:00:00,5400 Block S Boulder Rd,Trespassing
16317,2014-11-28 00:00:00,1000 Block Pearl St,Trespassing
16318,2014-11-30 00:00:00,1200 Block Eisenhower Dr,Vandalism
16319,2014-11-28 00:00:00,1400 Block Walnut St,Trespassing
16320,2014-11-30 00:00:00,3100 Block 24th St,Burglary
16321,2014-12-01 00:00:00,2100 Block Goddard Pl,Trespassing
16322,2014-12-05 00:00:00,3100 Block Iris Ave,Burglary
16323,2017-12-15 00:00:00,1800 Block 30th St,Trespassing
16324,2014-12-06 00:00:00,11th St & Pennsylvania Ave,Indecent Exposure
16325,2014-12-07 00:00:00,1700 Block 29th St,Vandalism
16326,2014-12-06 00:00:00,1900 Block 11th St,Sex Assault
16327,2014-11-29 00:00:00,1000 Block Pearl St,Trespassing
16328,2014-11-21 00:00:00,Broadway & Pleasant St,Vandalism
16329,2014-11-21 00:00:00,1500 Block Pearl St,Vandalism
16330,2014-12-01 00:00:00,1900 Block Goss St,Incident
16331,2014-12-01 00:00:00,3000 Block Arapahoe Ave,Vandalism
16332,2014-12-01 00:00:00,2800 Block E Aurora Ave,Burglary
16333,2014-11-27 00:00:00,2800 Block Pearl St,Trespassing
16334,2014-12-02 00:00:00,1900 Block 7th St,Theft From Vehicle
16335,2014-12-02 00:00:00,1100 Block Marine St,Burglary
16336,2014-12-02 00:00:00,00 Block S 31st St,Vandalism
16337,2014-12-02 00:00:00,5th St & Maxwell Ave,Vandalism
16338,2014-12-02 00:00:00,12th St & College Ave,Vandalism
16339,2014-12-02 00:00:00,2800 Block Pearl St,Incident
16340,2014-12-02 00:00:00,1800 Block Grove St,Theft From Vehicle
16341,2014-11-30 00:00:00,1000 Block University Ave,Vandalism
16342,2014-11-29 00:00:00,14th St & Rosewood Ave,Vandalism
16343,2014-11-30 00:00:00,700 Block 16th St,Vandalism
16344,2014-12-03 00:00:00,4300 Block Monroe Dr,Theft From Vehicle
16345,2014-11-28 00:00:00,1700 Block Pine St,Theft From Vehicle
16346,2014-11-28 00:00:00,3200 Block Arapahoe Ave,Trespassing
16347,2014-11-30 00:00:00,900 Block Pearl St,Incident
16348,2014-12-03 00:00:00,900 Block 16th St,Vandalism
16349,2014-12-03 00:00:00,4700 Block Broadway,Burglary
16350,2014-12-03 00:00:00,1600 Block 28th St,Vandalism
16351,2014-12-03 00:00:00,3600 Block Chase Ct,Burglary
16352,2014-12-03 00:00:00,900 Block 15th St,Vandalism
16353,2014-11-27 00:00:00,500 Block 27th Way,Burglary
16354,2014-11-30 00:00:00,300 Block 27th St,Vandalism
16355,2014-12-05 00:00:00,10th St & Pennsylvania Ave,Burglary
16356,2014-12-06 00:00:00,1500 Block Pearl St,Theft From Vehicle
16357,2014-12-07 00:00:00,1700 Block 28th St,Incident
16358,2014-12-06 00:00:00,700 Block Gilpin Dr,Burglary
16359,2014-12-05 00:00:00,3600 Block Chase Ct,Burglary
16360,2014-12-05 00:00:00,400 Block 22nd St,Burglary
16361,2013-10-04 00:00:00,1000 Block Walnut St,Trespassing
16362,2013-10-04 00:00:00,1000 Block Marine St,Burglary
16363,2013-10-04 00:00:00,1000 Block 12th St,Burglary
16364,2013-10-05 00:00:00,2100 Block 22nd St,Burglary
16365,2013-10-05 00:00:00,1100 Block Lincoln Pl,Burglary
16366,2013-10-06 00:00:00,1000 Block 11th St,Burglary
16367,2013-10-05 00:00:00,1100 Block Pleasant St,Vandalism
16368,2013-10-06 00:00:00,2900 Block Shadow Creek Dr,Burglary
16369,2013-10-05 00:00:00,Broadway & Iris Ave,Assault
16370,2013-10-06 00:00:00,1300 Block 28th Street Frontage Rd,Burglary
16371,2013-10-06 00:00:00,1100 Block Monroe Dr,Burglary
16372,2013-10-11 00:00:00,100 Block Pearl St,Assault
16373,2013-10-11 00:00:00,900 Block 5th St,Burglary
16374,2013-10-21 00:00:00,600 Block S 41st St,Theft From Vehicle
16375,2013-10-19 00:00:00,1800 Block Grove St,Vandalism
16376,2013-10-18 00:00:00,15th St & Pearl St,Vandalism
16377,2013-10-21 00:00:00,1100 Block Pleasant St,Vandalism
16378,2013-10-21 00:00:00,1900 Block Grove St,Vandalism
16379,2013-10-21 00:00:00,4800 Block Brandon Creek Dr,Burglary
16380,2013-10-21 00:00:00,3300 Block Madison Ave,Burglary
16381,2013-10-21 00:00:00,1400 Block Elder Ave,Theft From Vehicle
16382,2013-10-23 00:00:00,1400 Block Canyon Blvd,Trespassing
16383,2013-10-23 00:00:00,3600 Block Table Mesa Dr,Incident
16384,2013-10-23 00:00:00,34th St & Oneal Pkwy,Auto Theft
16385,2013-10-23 00:00:00,1600 Block Commerce St,Theft From Vehicle
16386,2013-10-23 00:00:00,800 Block 17th St,Trespassing
16387,2013-10-23 00:00:00,2900 Block Bluff St,Vandalism
16388,2013-10-23 00:00:00,1000 Block Adams Cir,Burglary
16389,2013-10-23 00:00:00,1100 Block 13th St,Trespassing
16390,2013-10-23 00:00:00,25th St & Edgewood Dr,Vandalism
16391,2013-10-25 00:00:00,1300 Block Broadway,Vandalism
16392,2013-10-28 00:00:00,4800 Block Broadway,Vandalism
16393,2013-10-28 00:00:00,3200 Block Arapahoe Ave,Vandalism
16394,2013-10-28 00:00:00,3500 Block Diagonal Hwy,Auto Theft
16395,2013-10-07 00:00:00,800 Block 20th St,Vandalism
16396,2013-10-07 00:00:00,600 Block Lashley Ln,Burglary
16397,2013-10-07 00:00:00,2100 Block 23rd St,Burglary
16398,2013-10-07 00:00:00,1000 Block 15th St,Vandalism
16399,2013-10-09 00:00:00,2500 Block Taft Dr,Burglary
16400,2013-10-08 00:00:00,5400 Block Arapahoe Ave,Theft From Vehicle
16401,2013-10-09 00:00:00,3100 Block 6th St,Burglary
16402,2013-10-08 00:00:00,1800 Block Yarmouth Ave,Vandalism
16403,2013-10-10 00:00:00,1600 Block 6th St,Burglary
16404,2013-10-10 00:00:00,1800 Block 22nd St,Motorcycle Theft
16405,2013-10-10 00:00:00,2600 Block Sherwood Cir,Incident
16406,2013-10-10 00:00:00,1000 Block Adams Cir,Sex Assault
16407,2013-10-15 00:00:00,33rd St & Fisher Dr,Sex Assault
16408,2013-10-15 00:00:00,1100 Block 12th St,Vandalism
16409,2013-10-13 00:00:00,1700 Block 29th St,Trespassing
16410,2013-10-13 00:00:00,1700 Block Balsam Ave,Indecent Exposure
16411,2013-10-12 00:00:00,3100 Block 34th St,Vandalism
16412,2013-10-13 00:00:00,1000 Block 13th St,Vandalism
16413,2013-10-11 00:00:00,1300 Block Gillaspie Dr,Theft From Vehicle
16414,2013-10-11 00:00:00,1000 Block Canyon Blvd,Trespassing
16415,2013-10-12 00:00:00,200 Block Arapahoe Ave,Trespassing
16416,2013-10-13 00:00:00,1000 Block 11th St,Trespassing
16417,2013-10-11 00:00:00,900 Block Walnut St,Theft From Vehicle
16418,2013-10-11 00:00:00,3300 Block Broadway,Burglary
16419,2013-10-13 00:00:00,700 Block 16th St,Theft From Vehicle
16420,2013-10-12 00:00:00,900 Block 28th Frontage Rd,Burglary
16421,2013-10-13 00:00:00,2700 Block Arapahoe Ave,Trespassing
16422,2013-10-12 00:00:00,900 Block 16th St,Vandalism
16423,2013-10-11 00:00:00,1000 Block 9th St,Auto Theft
16424,2013-10-11 00:00:00,900 Block University Ave,Burglary
16425,2013-10-12 00:00:00,1700 Block Marine St,Vandalism
16426,2014-03-04 00:00:00,Broadway & Greenbriar Blvd,Vandalism
16427,2014-03-07 00:00:00,1000 Block Pleasant St,Vandalism
16428,2014-03-08 00:00:00,3000 Block Pearl Pkwy,Burglary
16429,2014-03-12 00:00:00,2500 Block Taft Dr,Burglary
16430,2014-02-22 00:00:00,700 Block 18th St,Assault
16431,2014-02-21 00:00:00,1600 Block Arapahoe Ave,Vandalism
16432,2014-02-18 00:00:00,800 Block Broadway,Incident
16433,2014-02-23 00:00:00,600 Block Lashley Ln,Robbery
16434,2014-02-24 00:00:00,400 Block Arapahoe Ave,Vandalism
16435,2014-02-06 00:00:00,1600 Block 9th St,Burglary
16436,2014-02-25 00:00:00,1600 Block 30th St,Assault
16437,2014-02-25 00:00:00,2800 Block Mapleton St,Theft From Vehicle
16438,2014-02-25 00:00:00,1900 Block 30th St,Assault
16439,2014-02-25 00:00:00,1000 Block Canyon Blvd,Trespassing
16440,2014-02-25 00:00:00,4500 Block 19th St,Burglary
16441,2014-02-25 00:00:00,1700 Block 14th St,Trespassing
16442,2014-02-25 00:00:00,1500 Block Broadway,Vandalism
16443,2014-02-26 00:00:00,700 Block Spruce St,Burglary
16444,2014-02-25 00:00:00,1100 Block Pennsylvania Ave,Vandalism
16445,2014-02-28 00:00:00,1000 Block Walnut St,Burglary
16446,2014-03-01 00:00:00,1900 Block Bluebell Ave,Vandalism
16447,2014-03-06 00:00:00,5500 Block Arapahoe Ave,Vandalism
16448,2014-03-06 00:00:00,600 Block S 41st St,Theft From Vehicle
16449,2014-03-14 00:00:00,15th St & Euclid Ave,Vandalism
16450,2014-01-14 00:00:00,1400 Block Walnut St,Trespassing
16451,2014-03-26 00:00:00,3800 Block Colorado Ave,Vandalism
16452,2014-03-26 00:00:00,1400 Block Pearl St,Trespassing
16453,2014-03-26 00:00:00,1100 Block Pearl St,Vandalism
16454,2014-03-01 00:00:00,1700 Block Pearl St,Trespassing
16455,2014-02-28 00:00:00,4300 Block Comanche Dr,Burglary
16456,2014-02-28 00:00:00,1300 Block College Ave,Trespassing
16457,2014-03-02 00:00:00,1400 Block Walnut St,Trespassing
16458,2014-02-28 00:00:00,2400 Block 30th St,Theft From Vehicle
16459,2014-02-28 00:00:00,1100 Block University Ave,Burglary
16460,2013-09-02 00:00:00,1900 Block Baseline Rd,Theft From Vehicle
16461,2014-03-03 00:00:00,1000 Block Canyon Blvd,Theft Of Car Parts
16462,2014-03-03 00:00:00,1800 Block Folsom St,Burglary
16463,2014-03-04 00:00:00,3000 Block Broadway,Incident
16464,2014-03-04 00:00:00,1300 Block Pearl St,Trespassing
16465,2014-03-04 00:00:00,1200 Block College Ave,Vandalism
16466,2014-03-04 00:00:00,900 Block Marine St,Burglary
16467,2014-03-05 00:00:00,600 Block S Broadway,Vandalism
16468,2014-03-05 00:00:00,1400 Block Canyon Blvd,Assault
16469,2014-03-05 00:00:00,2800 Block Baseline Rd,Trespassing
16470,2014-03-05 00:00:00,1800 Block Bluebell Ave,Vandalism
16471,2014-03-09 00:00:00,3600 Block Walnut St,Burglary
16472,2014-03-09 00:00:00,15th St & Pearl St,Auto Theft
16473,2014-03-10 00:00:00,900 Block 28th Frontage Rd,Burglary
16474,2014-03-10 00:00:00,4500 Block 19th St,Indecent Exposure
16475,2014-03-10 00:00:00,1500 Block Lodge Ln,Burglary
16476,2014-03-10 00:00:00,4900 Block US Hwy 36,Auto Theft
16477,2014-03-10 00:00:00,1200 Block Pearl St,Assault
16478,2014-03-10 00:00:00,900 Block 28th St,Burglary
16479,2014-03-09 00:00:00,700 Block 19th St,Vandalism
16480,2014-03-08 00:00:00,1100 Block 13th St,Trespassing
16481,2014-03-16 00:00:00,3100 Block 34th St,Auto Theft
16482,2014-03-06 00:00:00,2800 Block Kalmia Ave,Trespassing
16483,2014-03-06 00:00:00,1600 Block Broadway,Robbery
16484,2014-03-06 00:00:00,Stanford Ave & Table Mesa Dr,Theft From Vehicle
16485,2014-03-07 00:00:00,1600 Block Walnut St,Burglary
16486,2014-03-06 00:00:00,4700 Block Easy Rider Ln,Burglary
16487,2014-03-07 00:00:00,3100 Block 28th St,Trespassing
16488,2014-03-06 00:00:00,900 Block University Ave,Trespassing
16489,2014-03-06 00:00:00,2900 Block Iris Ave,Incident
16490,2014-03-07 00:00:00,4900 Block 10th St,Burglary
16491,2014-07-21 00:00:00,4000 Block Darley Ave,Sex Assault
16492,2014-07-21 00:00:00,800 Block 12th St,Sex Assault
16493,2014-07-22 00:00:00,1500 Block Columbine Ave,Burglary
16494,2014-07-23 00:00:00,1500 Block Broadway,Theft From Vehicle
16495,2014-07-23 00:00:00,30th St & Madison Ave,Theft From Vehicle
16496,2014-07-23 00:00:00,700 Block 18th St,Burglary
16497,2014-07-23 00:00:00,900 Block Arapahoe Ave,Vandalism
16498,2014-07-23 00:00:00,19th St & Aurora Ave,Vandalism
16499,2014-07-23 00:00:00,600 Block 12th St,Theft From Vehicle
16500,2014-07-23 00:00:00,600 Block 12th St,Theft From Vehicle
16501,2014-07-23 00:00:00,600 Block 12th St,Theft From Vehicle
16502,2014-07-23 00:00:00,2500 Block Briarwood Dr,Incident
16503,2017-09-07 00:00:00,4900 Block Thunderbird Dr,Auto Theft
16504,2014-07-23 00:00:00,900 Block 9th St,Burglary
16505,2014-07-23 00:00:00,4800 Block Table Mesa Dr,Auto Theft
16506,2014-07-23 00:00:00,4900 Block 10th St,Burglary
16507,2014-07-23 00:00:00,700 Block Hawthorne Ave,Vandalism
16508,2014-07-25 00:00:00,00 Block S Boulder Cir,Theft From Vehicle
16509,2014-07-30 00:00:00,1100 Block 13th St,Burglary
16510,2014-07-30 00:00:00,800 Block 18th St,Vandalism
16511,2014-07-24 00:00:00,27th Wy & Baseline Rd,Indecent Exposure
16512,2014-07-24 00:00:00,200 Block Arapahoe Ave,Trespassing
16513,2014-07-24 00:00:00,200 Block Arapahoe Ave,Trespassing
16514,2014-07-24 00:00:00,2900 Block E Euclid Ave,Trespassing
16515,2014-07-24 00:00:00,1800 Block 19th St,Burglary
16516,2014-07-25 00:00:00,1000 Block 11th St,Vandalism
16517,2014-07-28 00:00:00,1000 Block Grandview Ave,Incident
16518,2014-07-28 00:00:00,1100 Block 12th St,Burglary
16519,2014-07-28 00:00:00,9th St & Dellwood Ave,Vandalism
16520,2014-07-29 00:00:00,500 Block 15th St,Vandalism
16521,2014-07-30 00:00:00,2900 Block Baseline Rd,Burglary
16522,2014-07-30 00:00:00,2900 Block Iris Ave,Theft From Vehicle
16523,2014-07-30 00:00:00,2900 Block E College Ave,Auto Theft
16524,2014-07-31 00:00:00,1900 Block 13th St,Trespassing
16525,2014-07-31 00:00:00,30th St & Pearl St,Vandalism
16526,2014-07-31 00:00:00,4500 Block 8th St,Burglary
16527,2014-07-31 00:00:00,2500 Block 30th St,Burglary
16528,2014-07-31 00:00:00,19th St & Aurora Ave,Vandalism
16529,2014-07-31 00:00:00,Foothills Pkwy & Walnut St,Indecent Exposure
16530,2014-07-31 00:00:00,1600 Block Arapahoe Ave,Auto Theft
16531,2014-07-31 00:00:00,300 Block 27th St,Trespassing
16532,2014-07-31 00:00:00,3100 Block 6th St,Vandalism
16533,2014-07-31 00:00:00,1100 Block Grandview Ave,Vandalism
16534,2014-07-31 00:00:00,700 Block 7th St,Vandalism
16535,2014-07-25 00:00:00,2400 Block Arapahoe Ave,Trespassing
16536,2014-08-07 00:00:00,2400 Block Spruce St,Vandalism
16537,2014-08-06 00:00:00,1000 Block 8th St,Theft From Vehicle
16538,2014-08-06 00:00:00,29th St & Canyon Blvd,Theft From Vehicle
16539,2014-08-06 00:00:00,3300 Block Talisman Ct,Vandalism
16540,2014-08-07 00:00:00,1500 Block 30th St,Vandalism
16541,2014-08-07 00:00:00,700 Block 37th St,Burglary
16542,2014-08-07 00:00:00,1800 Block 19th St,Burglary
16543,2014-08-07 00:00:00,19th St & Cascade Ave,Vandalism
16544,2014-08-07 00:00:00,2700 Block Pine St,Trespassing
16545,2014-08-07 00:00:00,18th St & Zamia Pl,Vandalism
16546,2014-08-12 00:00:00,3000 Block Valmont Rd,Sex Assault
16547,2014-08-12 00:00:00,2500 Block 5th St,Robbery
16548,2014-08-12 00:00:00,2995 Block Eagle Wy,Incident
16549,2014-07-22 00:00:00,200 Block Arapahoe Ave,Trespassing
16550,2014-07-28 00:00:00,2900 Block E Aurora Ave,Vandalism
16551,2014-07-25 00:00:00,1000 Block 13th St,Vandalism
16552,2014-07-27 00:00:00,2100 Block Hermosa Dr,Vandalism
16553,2014-07-27 00:00:00,3700 Block Iris Ave,Recovery
16554,2014-07-27 00:00:00,1500 Block 30th St,Theft From Vehicle
16555,2014-07-26 00:00:00,1600 Block Grove St,Vandalism
16556,2013-06-10 00:00:00,100 Block Arapahoe Ave,Trespassing
16557,2013-06-10 00:00:00,2900 Block E College Ave,Vandalism
16558,2013-06-13 00:00:00,1800 Block 30th St,Trespassing
16559,2013-06-16 00:00:00,600 Block S Broadway,Vandalism
16560,2013-06-16 00:00:00,600 Block 22nd St,Theft From Vehicle
16561,2013-06-16 00:00:00,600 Block Manhattan Pl,Vandalism
16562,2013-05-27 00:00:00,5000 Block Butte St,Burglary
16563,2013-05-26 00:00:00,1500 Block Eisenhower Dr,Vandalism
16564,2013-05-27 00:00:00,2600 Block Mapleton Ave,Incident
16565,2013-05-27 00:00:00,1000 Block 13th St,Vandalism
16566,2013-05-26 00:00:00,2100 Block 13th St,Assault
16567,2013-05-27 00:00:00,00 Block S Boulder Cir,Theft From Vehicle
16568,2013-05-27 00:00:00,800 Block 15th St,Incident
16569,2013-05-26 00:00:00,1900 Block 15th St,Trespassing
16570,2013-05-27 00:00:00,4500 Block Arapahoe Ave,Theft From Vehicle
16571,2013-06-11 00:00:00,2900 Block Iris Ave,Trespassing
16572,2013-06-11 00:00:00,3200 Block Sentinel Dr,Theft From Vehicle
16573,2013-06-11 00:00:00,600 Block Pleasant St,Theft From Vehicle
16574,2013-06-11 00:00:00,3600 Block Chase Ct,Burglary
16575,2013-06-11 00:00:00,2900 Block E Aurora Ave,Vandalism
16576,2013-06-12 00:00:00,1800 Block Quince Ave,Vandalism
16577,2013-04-11 00:00:00,14th St & Arapahoe Ave,Trespassing
16578,2013-04-19 00:00:00,1000 Block Canyon Blvd,Vandalism
16579,2013-04-17 00:00:00,Osage Dr & Qualla Dr,Theft From Vehicle
16580,2013-04-16 00:00:00,1800 Block Goss St,Burglary
16581,2013-04-01 00:00:00,1100 Block Arapahoe Ave,Trespassing
16582,2017-09-05 00:00:00,2700 Block 29th St,Trespassing
16583,2013-05-29 00:00:00,1300 Block Pine St,Burglary
16584,2013-05-29 00:00:00,3400 Block 30th St,Burglary
