FID,REPORTDATE,BLOCKADD,OFFENSE
174,2010-08-22 00:00:00,12th St & Euclid Ave,Incident
175,2010-08-22 00:00:00,800 Block 16th St,Vandalism
176,2010-08-22 00:00:00,2800 Block Baseline Rd,Trespassing
177,2017-12-04 00:00:00,00 Block S Boulder Cir,Vandalism
178,2012-02-06 00:00:00,900 Block 14th St,Burglary
179,2010-08-23 00:00:00,1100 Block Grandview Ave,Burglary
180,2011-11-18 00:00:00,2700 Block Valmont Rd,Theft From Vehicle
181,2010-08-23 00:00:00,800 Block Alpine Ave,Vandalism
182,2010-08-23 00:00:00,3100 Block Iris Ave,Burglary
183,2010-08-23 00:00:00,1100 Block Pine St,Sex Assault
184,2012-02-06 00:00:00,2900 Block 28th St,Robbery
185,2012-05-18 00:00:00,2900 Block Baseline Rd,Trespassing
186,2010-08-23 00:00:00,2800 Block 30th St,Theft From Vehicle
187,2010-08-23 00:00:00,1700 Block 28th St,Burglary
188,2012-10-29 00:00:00,1000 Block 13th St,Burglary
189,2010-08-25 00:00:00,1300 Block College Ave,Trespassing
190,2012-05-18 00:00:00,2600 Block 6th St,Vandalism
191,2012-02-06 00:00:00,2000 Block Spruce St,Vandalism
192,2012-02-07 00:00:00,2800 Block Marine St,Sex Assault
193,2010-08-26 00:00:00,1700 Block 15th St,Vandalism
194,2017-12-04 00:00:00,700 Block Jonquil Pl,Auto Theft
195,2012-11-20 00:00:00,1800 Block 13th St,Trespassing
196,2010-04-25 00:00:00,1500 Block Quince Ave,Vandalism
197,2010-05-16 00:00:00,700 Block Linden Ave,Burglary
198,2011-06-08 00:00:00,1700 Block Marine St,Trespassing
199,2008-02-25 00:00:00,5600 Block Sioux Dr,Theft From Vehicle
200,2011-02-14 00:00:00,3100 Block 28th St,Burglary
201,2010-10-09 00:00:00,5th St & Arapahoe Ave,Vandalism
202,2009-10-15 00:00:00,600 Block Manhattan Pl,Burglary
203,2008-04-10 00:00:00,1800 Block 29th St,Theft From Vehicle
204,2012-05-28 00:00:00,29th St & Glenwood Dr,Vandalism
205,2008-09-23 00:00:00,400 Block S Lashley Ln,Theft From Vehicle
206,2012-12-26 00:00:00,1000 Block Broadway,Theft From Vehicle
207,2009-09-09 00:00:00,28th St & Iris Ave,Vandalism
208,2009-05-31 00:00:00,1700 Block 13th St,Vandalism
209,2012-04-23 00:00:00,1500 Block 10th St,Burglary
210,2011-05-14 00:00:00,700 Block University Ave,Theft From Vehicle
211,2009-05-03 00:00:00,1400 Block Broadway,Vandalism
212,2010-12-05 00:00:00,1100 Block 13th St,Vandalism
213,2010-06-26 00:00:00,900 Block University Ave,Burglary
214,2010-12-15 00:00:00,800 Block 20th St,Robbery
215,2012-05-28 00:00:00,17th St & Cascade Ave,Vandalism
216,2012-11-27 00:00:00,12th St & Pennsylvania Ave,Auto Theft
217,2017-08-22 00:00:00,1600 Block Columbine Ave,Theft From Vehicle
218,2011-01-01 00:00:00,4500 Block 19th St,Burglary
219,2012-06-18 00:00:00,900 Block 14th St,Vandalism
220,2009-04-21 00:00:00,2900 Block E College Ave,Theft From Vehicle
221,2012-05-28 00:00:00,3000 Block Emerson Ave,Vandalism
222,2009-11-25 00:00:00,6600 Block Gunpark Dr,Recovery
223,2009-02-01 00:00:00,1700 Block 22nd St,Sex Assault
224,2010-06-10 00:00:00,1300 Block College Ave,Burglary
225,2009-07-22 00:00:00,17th St & Yarmouth Ave,Vandalism
226,2009-10-20 00:00:00,3700 Block Birchwood Dr,Vandalism
227,2010-06-23 00:00:00,900 Block Grandview Ave,Vandalism
228,2011-12-12 00:00:00,1100 Block Marine St,Trespassing
229,2009-08-23 00:00:00,2000 Block Mapleton Ave,Trespassing
230,2009-12-22 00:00:00,2000 Block 5th St,Theft From Vehicle
231,2009-01-19 00:00:00,1100 Block Pennsylvania Ave,Vandalism
232,2009-11-13 00:00:00,1100 Block University Ave,Vandalism
233,2008-11-03 00:00:00,1600 Block Mapleton Ave,Vandalism
234,2012-12-24 00:00:00,1200 Block Canyon Blvd,Incident
235,2008-11-05 00:00:00,1000 Block 15th St,Theft From Vehicle
236,2008-11-23 00:00:00,900 Block Cedar Ave,Burglary
237,2012-05-24 00:00:00,3300 Block 28th St,Incident
238,2010-01-22 00:00:00,2900 Block Baseline Rd,Burglary
239,2010-06-10 00:00:00,1600 Block 30th St,Trespassing
240,2009-07-21 00:00:00,Broadway & Regent Dr,Incident
241,2015-07-17 00:00:00,3100 Block Kittrell Ct,Burglary
242,2011-11-08 00:00:00,2000 Block 10th St,Incident
243,2012-04-23 00:00:00,12th St & Euclid Ave,Assault
244,2010-03-23 00:00:00,900 Block University Ave,Vandalism
245,2010-04-09 00:00:00,3000 Block Kings Ridge Bv,Theft From Vehicle
246,2008-08-23 00:00:00,1000 Block Canyon Blvd,Motorcycle Theft
247,2008-09-10 00:00:00,1800 Block Alpine Ave,Vandalism
248,2011-11-09 00:00:00,3000 Block Madison Ave,Theft From Vehicle
249,2011-08-31 00:00:00,2700 Block Baseline Rd,Incident
250,2012-12-24 00:00:00,2100 Block 13th St,Trespassing
251,2008-07-01 00:00:00,5000 Block Broadway,Theft From Vehicle
252,2008-01-19 00:00:00,3700 Block Table Mesa Dr,Robbery
253,2009-02-06 00:00:00,1200 Block 11th St,Burglary
254,2008-02-03 00:00:00,2000 Block 14th St,Vandalism
255,2008-11-01 00:00:00,700 Block Lincoln Pl,Vandalism
256,2009-05-01 00:00:00,2600 Block Juniper Ave,Theft From Vehicle
257,2009-07-21 00:00:00,700 Block S 41st St,Auto Theft
258,2009-03-11 00:00:00,1100 Block University Ave,Trespassing
259,2009-10-08 00:00:00,1200 Block Pine St,Incident
260,2009-10-22 00:00:00,800 Block 18th St,Vandalism
261,2011-08-26 00:00:00,1700 Block Marine St,Burglary
262,2009-03-28 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
263,2011-06-15 00:00:00,2300 Block Goss St,Incident
264,2010-01-25 00:00:00,1100 Block Grandview Ave,Theft From Vehicle
265,2011-04-25 00:00:00,3200 Block Airport Rd,Trespassing
266,2008-02-08 00:00:00,2600 Block Juilliard St,Burglary
267,2011-12-26 00:00:00,3300 Block 28th St,Trespassing
268,2012-05-01 00:00:00,2900 Block Baseline Rd,Trespassing
269,2011-04-14 00:00:00,4700 Block Broadway,Assault
270,2011-04-21 00:00:00,14th St & Aurora Ave,Vandalism
271,2011-04-21 00:00:00,1000 Block 14th St,Vandalism
272,2012-03-09 00:00:00,1000 Block Lincoln Pl,Burglary
273,2011-03-06 00:00:00,3900 Block Carlock Dr,Theft From Vehicle
274,2011-04-25 00:00:00,800 Block Circle Dr,Burglary
275,2011-04-25 00:00:00,28th St & Baseline Rd,Vandalism
276,2008-04-24 00:00:00,800 Block 30th St,Burglary
277,2011-09-03 00:00:00,3100 Block 3rd St,Vandalism
278,2010-01-19 00:00:00,800 Block 20th St,Burglary
279,2011-05-03 00:00:00,2400 Block Linden Ave,Burglary
280,2011-04-19 00:00:00,1700 Block 30th St,Burglary
281,2011-10-10 00:00:00,2900 Block 55th St,Trespassing
282,2011-09-04 00:00:00,1900 Block Walnut St,Vandalism
283,2011-05-03 00:00:00,1700 Block 6th St,Vandalism
284,2011-05-03 00:00:00,1300 Block Broadway,Trespassing
285,2011-05-05 00:00:00,700 Block Pearl St,Vandalism
286,2011-09-25 00:00:00,28th St & Iris Ave,Vandalism
287,2011-02-17 00:00:00,300 Block S 42nd St,Burglary
288,2008-09-29 00:00:00,1400 Block Spruce St,Burglary
289,2011-04-19 00:00:00,14th St & Lee Hill Dr,Vandalism
290,2009-05-19 00:00:00,1800 Block 13th St,Vandalism
291,2011-09-15 00:00:00,10th St & Pleasant St,Robbery
292,2011-05-04 00:00:00,1500 Block Lee Hill Dr,Theft From Vehicle
293,2011-05-04 00:00:00,900 Block 11th St,Burglary
294,2009-11-04 00:00:00,5300 Block Manhattan Cir,Trespassing
295,2010-06-03 00:00:00,13th St & Arapahoe Ave,Robbery
296,2011-04-19 00:00:00,3200 Block N Oneal Cir,Auto Theft
297,2011-04-19 00:00:00,2500 Block Pine St,Vandalism
298,2011-03-07 00:00:00,3000 Block 29th St,Theft From Vehicle
299,2008-12-15 00:00:00,2900 Block Glenwood Dr,Vandalism
300,2011-05-04 00:00:00,1500 Block Lee Hill Dr,Auto Theft
301,2011-10-11 00:00:00,800 Block 19th St,Vandalism
302,2011-11-23 00:00:00,700 Block Thomas Dr,Sex Assault
303,2008-02-25 00:00:00,700 Block 29th St,Burglary
304,2008-09-18 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
305,2008-11-15 00:00:00,900 Block Canyon Blvd,Vandalism
306,2008-12-24 00:00:00,1700 Block 29th St,Trespassing
307,2011-04-19 00:00:00,3000 Block 29th St,Burglary
308,2011-04-25 00:00:00,1100 Block 10th St,Vandalism
309,2011-11-24 00:00:00,3100 Block Arnett St,Theft From Vehicle
310,2011-05-04 00:00:00,3200 Block 34th St,Theft From Vehicle
311,2011-05-04 00:00:00,3300 Block Oneal Pkwy,Vandalism
312,2012-09-23 00:00:00,1700 Block Mariposa Ave,Theft From Vehicle
313,2010-04-12 00:00:00,900 Block 13th St,Burglary
314,2011-04-19 00:00:00,600 Block Concord Ave,Burglary
315,2011-04-19 00:00:00,3300 Block 28th St,Vandalism
316,2008-07-09 00:00:00,1100 Block Pennsylvania Ave,Burglary
317,2008-04-24 00:00:00,1500 Block Greenbriar Bv,Vandalism
318,2011-04-19 00:00:00,4500 Block Comanche Dr,Burglary
319,2011-04-26 00:00:00,200 Block Manhattan Dr,Vandalism
320,2010-04-15 00:00:00,2850 Block Iris Av,Burglary
321,2009-09-08 00:00:00,3100 Block Repplier St,Vandalism
322,2012-08-03 00:00:00,500 Block S 45th St,Burglary
323,2011-05-04 00:00:00,1300 Block Broadway,Assault
324,2011-08-22 00:00:00,1800 Block 17th St,Vandalism
325,2010-08-03 00:00:00,1100 Block Drexel St,Burglary
326,2010-08-01 00:00:00,1000 Block Canyon Blvd,Trespassing
327,2010-08-02 00:00:00,900 Block Broadway,Vandalism
328,2010-07-28 00:00:00,1100 Block 13th St,Trespassing
329,2008-05-31 00:00:00,1100 Block Walnut St,Assault
330,2008-10-18 00:00:00,800 Block 17th St,Vandalism
331,2016-02-14 00:00:00,3000 Block Palo Pkwy,Theft From Vehicle
332,2010-09-06 00:00:00,3800 Block Talisman Pl,Vandalism
333,2009-11-16 00:00:00,3100 Block 34th St,Vandalism
334,2008-11-24 00:00:00,2900 Block Eagle Way,Burglary
335,2012-04-04 00:00:00,S Lashley Ln & Table Mesa Dr,Auto Theft
336,2012-12-15 00:00:00,800 Block 17th St,Burglary
337,2010-12-07 00:00:00,5500 Block Central Ave,Theft From Vehicle
338,2011-12-01 00:00:00,Broadway & Pine St,Sex Assault
339,2009-03-13 00:00:00,900 Block 14th St,Burglary
340,2008-06-28 00:00:00,900 Block 28th St,Vandalism
341,2008-03-08 00:00:00,1000 Block 12th St,Vandalism
342,2011-12-03 00:00:00,600 Block 27th Wy,Theft From Vehicle
